Разъем;Вывод;Вывод
XS7(30);353;
XS7(32);354;
XS7(34);355;
XS8(1);356;
XS8(3);357;
XS8(5);358;
XS8(7);359;
XS8(9);360;
XS7(31);361;
XS7(33);362;
XS7(35);363;
XS8(2);364;
XS8(4);365;
XS8(6);366;
XS8(8);367;
XS8(10);368;
XS8(11);369;
XS8(13);370;
XS8(15);371;
XS8(17);372;
XS8(19);373;
XS8(21);374;
XS8(23);375;
XS8(25);376;
XS8(12);377;
XS8(14);378;
XS8(16);379;
XS8(18);380;
XS8(20);381;
XS8(22);382;
XS8(24);383;
XS8(26);384;
XS8(27);385;
XS8(29);386;
XS8(31);387;
XS8(33);388;
XS8(35);389;
XS10(2);390;
XS10(4);391;
XS10(6);392;
XS8(28);393;
XS8(30);394;
XS8(32);395;
XS8(34);396;
XS10(1);397;
XS10(3);398;
XS10(5);399;
XS10(7);400;
XS10(8);401;
XS10(10);402;
XS10(12);403;
XS10(14);404;
XS10(16);405;
XS10(18);406;
XS10(20);407;
XS10(22);408;
XS10(9);409;
XS10(11);410;
XS10(13);411;
XS10(15);412;
XS10(17);413;
XS10(19);414;
XS10(21);415;
XS10(23);416;
XS10(24);417;
XS10(26);418;
XS10(28);419;
XS10(30);420;
XS10(32);421;
XS10(34);422;
NC(NC);423;
NC(NC);424;
XS10(25);425;
XS10(27);426;
XS10(29);427;
XS10(31);428;
XS10(33);429;
XS10(35);430;
NC(NC);431;
NC(NC);432;
NC(NC);433;
NC(NC);434;
NC(NC);435;
NC(NC);436;
NC(NC);437;
NC(NC);438;
NC(NC);439;
NC(NC);440;
NC(NC);441;
NC(NC);442;
NC(NC);443;
NC(NC);444;
NC(NC);445;
NC(NC);446;
NC(NC);447;
NC(NC);448;
XS19(1);449;
XS19(3);450;
XS19(5);451;
XS19(7);452;
XS19(9);453;
XS19(11);454;
XS19(13);455;
XS19(15);456;
XS19(2);457;
XS19(4);458;
XS19(6);459;
XS19(8);460;
XS19(10);461;
XS19(12);462;
XS19(14);463;
XS19(16);464;
XS19(17);465;
XS19(19);466;
XS19(21);467;
XS19(23);468;
XS19(25);469;
XS19(27);470;
XS19(29);471;
XS19(31);472;
XS19(18);473;
XS19(20);474;
XS19(22);475;
XS19(24);476;
XS19(26);477;
XS19(28);478;
XS19(30);479;
XS19(32);480;
XS19(33);481;
XS19(35);482;
XS19(37);483;
XS19(39);484;
XS13(2);485;
XS14(2);486;
XS15(1);487;
XP17(1);488;
XS19(34);489;
XS19(36);490;
XS19(38);491;
XS13(1);492;
XS14(1);493;
XS14(3);494;
XS15(2);495;
XP17(2);496;
XP17(3);497;
YA42(2);498;
YA43(2);499;
XS22(2);500;
XP24(1);501;
XP24(3);502;
XP43(2);503;
XP23(2);504;
YA42(1);505;
YA43(1);506;
XS22(1);507;
XS22(3);508;
XP24(2);509;
XP43(1);510;
XP23(1);511;
XP23(3);512;
XP23(4);513;
XS29(2);514;
XS29(4);515;
XP28(1);516;
XP28(3);517;
XS26(2);518;
XS27(2);519;
XS27(4);520;
XS29(1);521;
XS29(3);522;
XS29(5);523;
XP28(2);524;
XS26(1);525;
XS27(1);526;
XS27(3);527;
XS25(1);528;
XS25(2);529;
XS25(4);530;
XS40(1);531;
YA32(1);532;
XS37(1);533;
XP44(1);534;
XS11(1);535;
XT39(1);536;
XS25(3);537;
XS25(5);538;
XS40(2);539;
YA32(2);540;
XS37(2);541;
XP44(2);542;
XT33(1);543;
XP36(1);544;
XP36(2);545;
XP36(4);546;
XP36(6);547;
XP36(8);548;
XP36(10);549;
XP36(12);550;
XP36(14);551;
XP36(16);552;
XP36(3);553;
XP36(5);554;
XP36(7);555;
XP36(9);556;
XP36(11);557;
XP36(13);558;
XP36(15);559;
NC(NC);560;
NC(NC);561;
NC(NC);562;
NC(NC);563;
NC(NC);564;
NC(NC);565;
NC(NC);566;
NC(NC);567;
NC(NC);568;
NC(NC);569;
NC(NC);570;
NC(NC);571;
NC(NC);572;
NC(NC);573;
NC(NC);574;
NC(NC);575;
NC(NC);576;
